loss,trans_loss,class_acc,entropy,snd
12.16,9.74,15.6,2.281,-7.192
3.72,2.9,71.9,2.152,-7.144
4.14,2.71,71.9,2.097,-7.136
5.15,3.09,56.2,2.032,-7.128
2.73,1.97,81.2,2.018,-7.127
4.13,3.14,68.8,1.962,-7.168
2.11,1.78,87.5,1.933,-7.173
3.95,3.45,71.9,1.909,-7.188
4.05,2.88,68.8,1.912,-7.19
4.68,3.62,81.2,1.887,-7.175
2.65,2.09,84.4,1.899,-7.17
3.41,3.1,78.1,1.861,-7.206
4.23,3.77,71.9,1.842,-7.21
3.52,3.28,84.4,1.845,-7.206
2.88,2.13,78.1,1.832,-7.214
4.12,2.85,81.2,1.806,-7.223
3.47,2.96,87.5,1.82,-7.215
2.46,2.2,90.6,1.805,-7.226
3.16,2.83,90.6,1.792,-7.219
2.89,2.65,93.8,1.777,-7.23
3.68,3.08,78.1,1.789,-7.229
3.18,2.86,90.6,1.762,-7.255
3.82,3.12,78.1,1.773,-7.241
2.87,2.21,84.4,1.768,-7.235
3.09,2.57,84.4,1.769,-7.236
3.93,3.34,84.4,1.772,-7.242
3.93,3.55,78.1,1.789,-7.24
2.62,2.33,87.5,1.766,-7.242
3.93,3.68,84.4,1.764,-7.247
3.09,2.82,93.8,1.749,-7.255
3.55,2.8,87.5,1.775,-7.243
3.96,3.65,84.4,1.78,-7.242
2.88,2.69,90.6,1.747,-7.254
3.26,2.99,87.5,1.74,-7.262
3.72,3.34,84.4,1.751,-7.254
4.11,3.78,84.4,1.743,-7.26
3.59,2.9,84.4,1.742,-7.267
2.8,2.74,96.9,1.733,-7.26
2.77,2.27,81.2,1.72,-7.265
3.84,3.29,90.6,1.737,-7.259
2.88,2.73,93.8,1.733,-7.264
3.15,2.86,81.2,1.727,-7.262
3.59,3.01,87.5,1.722,-7.268
2.54,2.41,87.5,1.728,-7.256
3.44,2.92,81.2,1.722,-7.258
3.43,2.65,84.4,1.731,-7.263
2.9,2.65,87.5,1.719,-7.266
3.76,3.15,81.2,1.741,-7.265
2.34,2.2,96.9,1.739,-7.261
3.63,3.39,93.8,1.741,-7.264
4.21,3.28,81.2,1.733,-7.267
3.06,2.74,87.5,1.731,-7.267
2.76,2.08,87.5,1.728,-7.274
3.64,2.93,84.4,1.727,-7.273
3.41,2.99,84.4,1.724,-7.276
2.79,2.57,90.6,1.712,-7.279
3.26,2.87,84.4,1.711,-7.277
3.33,3.1,93.8,1.716,-7.274
2.97,2.78,96.9,1.719,-7.27
2.95,2.66,90.6,1.717,-7.277
2.84,2.62,87.5,1.71,-7.276
3.36,3.18,90.6,1.718,-7.277
2.93,2.79,96.9,1.724,-7.284
3.03,2.65,87.5,1.733,-7.267
3.34,3.27,96.9,1.72,-7.279
3.76,3.31,87.5,1.72,-7.282
2.81,2.38,96.9,1.722,-7.269
2.72,2.44,90.6,1.711,-7.279
3.2,2.74,90.6,1.702,-7.283
2.46,2.3,90.6,1.724,-7.274
2.86,2.47,87.5,1.727,-7.277
2.92,2.76,90.6,1.721,-7.269
3.92,2.93,81.2,1.715,-7.281
3.12,2.83,90.6,1.705,-7.286
2.84,2.66,87.5,1.711,-7.27
3.41,3.02,87.5,1.727,-7.27
3.08,2.8,87.5,1.717,-7.281
2.9,2.74,93.8,1.707,-7.281
2.77,2.58,100.0,1.714,-7.28
3.2,2.81,90.6,1.726,-7.271
2.39,2.31,96.9,1.712,-7.278
3.52,2.82,84.4,1.714,-7.274
3.09,2.7,87.5,1.712,-7.278
3.3,3.05,96.9,1.695,-7.285
4.0,3.37,87.5,1.711,-7.277
3.35,2.96,87.5,1.73,-7.267
3.61,3.05,90.6,1.717,-7.276
2.31,2.26,100.0,1.711,-7.273
2.69,2.56,90.6,1.728,-7.27
2.87,2.6,87.5,1.718,-7.275
3.97,3.43,84.4,1.716,-7.275
3.2,2.56,87.5,1.73,-7.269
2.67,2.23,84.4,1.713,-7.274
4.0,3.34,78.1,1.721,-7.27
2.39,2.13,90.6,1.71,-7.274
3.18,2.51,90.6,1.703,-7.276
2.47,2.18,87.5,1.712,-7.276
4.04,3.38,84.4,1.709,-7.271
3.12,2.52,90.6,1.709,-7.278
3.27,2.98,90.6,1.707,-7.279
